,Reviews,Rating
265,Good place to chill Lovely bright cafe,1
266,Love  Food and cocktails amazing As always- great,1
267,Wonderful Best meal we had in Amsterdam,1
268,Just about Eye for detail,1
269,Quirky cool restaurant on the other side Great food and wine in an industrial atmos,1
270,Amazing meat The best steak I’ve ever had,1
271,Expensive but worth it Best cocktail in Amsterdam,1
272,Great Food & Atmosphere Classic and dependable,1
273,Best salads I tried in Amsterdam Wonderful salads,1
274,Great Value Balkan Tapas Well worth a visit,1
275,Impressive What a fantastic place,1
276,A star Loved it The restaurant deserves its Mich,1
277,Should stop with my reviews Very cosy Scandinavian bar,1
278,Spectacular Burgers Excellent burger,1
279,Nice cozy place Casual outdoor dining,1
280,Amazing location Great dinner in stunning surroundings,1
281,Innovatively oriental Excellent high class Asian food,1
282,Great bar Old school metal music,1
283,Loved it  Beautiful interiors and fabulous food clo,1
284,Excellent on every level GREAT PLACE,1
285,Great Noodles; Great Pho A taste of Vietnam in the heart of Amsterd,1
286,Best Steaks In Town Good steak restaurant,1
287,Stretchy pants Time for a sushi break,1
288,Best steak I’ve had outside South America Best,1
289,Authentic Indonesiaa Great for introduction to Indonesian cuisi,1
290,Good fondue adequate ambiance cranky sta Lovely dinner here,1
291,Delicious Food but Limited Menu Good,1
292,Tucked away in Amsterdam Must go,1
293,Lunch time My favorite neighborhood spot in AMS,1
294,Great foodaverage service Pretty nice food But beware of spicy hot,1
295,very good breakfast Great Italian,1
296,Nice atmosphere good food lunch visit,1
297,Not as good as last time Unexpected good Chinese food,1
298,Top quality Japanese Very impressive actually,1
299,Best Siew Kai Soup Very good Chinese food,1
300,Super friendly and warm welcome Stays in the top of favorites,1
301,Great dinner Carne y carne,1
302,Great food at reasonable price Excellent breakfast,1
303,Excellent Relaxed vibe,1
304,Drinks and darts A proper pub,1
305,Great fun and good food Really nice place,1
306,Vegan Friendly Great brunch in cosy atmosphere,1
307,Interesting menu (good) and cute environm Nice meal,1
308,Happy hour Great Food,1
309,Very good but not the absolute best Very nice Thai food,1
310,Good example of a well-run chain Great,1
311,Fine oriental dining Dimsum creativity,1
312,Romantic and cozy The vegan burger is delicious,1
313,Well deserved and served pleasant restaurant classy decor good fo,1
314,Oh my god Really? Nice pizzas in relaxed atmosphere Friendl,1
315,Favorite Dutch Supermarket Dutch Supermarket,1
316,Hidden gem Perfect for Dinner and Bites&Drinks,1
317,Fantastic Delicious and fresh vegetarian fare,1
318,31st night Very cozy and welcoming atmosphere,1
319,My favourite in amsterdam Great breakfast very friendly staff,1
320,Excellent restaurant Interesting restaurant,1
321,Delicious Italian in a nice restaurant mid Faultless,1
322,Really good pizza and pasta Good food and atmosphere,1
323,Quality burger heaven Good,1
324,Delicious sushi and friendly staff Really good and fresh food,1
325,Very Good Steakhouse A solid neighborhood steak house thats ac,1
326,Great service and charming waitress Excellent food and well priced,1
327,Classy Italian Great but,1
328,Give it a try Great burger,1
329,An italian corner in Amsterdam Great food,1
330,Amazing Outstanding,1
331,A pleasant place for a short rest Great evening special,1
332,Nice setting and friendly staff Tasty build your own,1
333,Breakfast by the zoo Great Stop,1
334,Great place Great Indian food in Jordaan Amsterdam ar,1
335,Good atmosphere Fine wine and gourmet bites,1
336,Wonderful local -also dinner Low key dinner,1
337,One of the best lunch places in Amsterdam Classic and elegant dining,1
338,Great choice of top quality food Great selection of foods and drinks,1
339,Perfect for before a marathon Family dinner,1
340,Fantastic Birthday dinner Sublime,1
341,A interesting place to take a break Surprising place for lunch,1
342,Unforgettable Evening Again Relaxed atmosphere great food and service,1
343,Amazing dishes and service affordable Top top top,1
344,Amazing food Great food and a good choice of beer,1
345,Indian Taste in Amsterdam Excellent Indian restaurant,1
346,Book a table in advance Lovely Place,1
347,So tasty Awesome Espresso,1
348,Cool and Cozy Good food at affordable prices,1
349,Mexico in Amsterdam Great mexican food,1
350,Tried and True Thai Prince Nice place with great food,1
351,Dinner Im sure I will return again,1
352,Good music and even better food Authentic Tapas and Great service,1
353,Sushi all you can eat Great food and good for a night out with f,1
354,Quick bite Tasty,1
355,Best fish tacos EVER Aint no ordinary gringo,1
356,Excellent BBQ always great,1
357,Grand cafe Always good,1
358,Great local food kroketten,1
359,Best bar in Amsterdam Best pub in Amsterdam,1
360,No stars necessary Great proof of the quality of the Dutch ki,1
361,Nice restaurant/bar for dinner Excellent beers and good food in a very fr,1
362,Charming restaurant Good food nice atmosphere,1
363,Excellent Choice for our first meal in Ams Excellent French/ International cuisine,1
364,Different but brilliant Fabulous,1
365,A feast in a cozy setting Cozy Restaurant and Tasty Food,1
366,Good food and cospomopolitan feel Rating purely food based,1
367,Fantastic Excellent wine and food pairings,1
368,Pleasantly surprised Best peshwari naan ever,1
369,Exceptional if there were more stars they Perfectly measured even for our large gro,1
370,Lovely Hidden gem,1
371,Probably best Pizza in town Amazing Pizza- best ever in Amsterdam,1
372,Great ambiance Great place to relax and people watch with,1
373,Best beer in Amsterdam Great hamburguer and bear,1
374,Twice Charmed Loved it,1
375,Very nice food and service Squeeze in a visit,1
376,Great burgers Superb Burger Restaurant,1
377,Great Vegan option everything is good,1
378,Great concept great food great staff Mr Lavon,1
379,Currently closed until spring 2018 Lovely place,1
380,Beautiful view of the city Good reasonably priced food in a Cafeteri,1
381,Cheese lovers this place is for you all the cheese you want,1
382,Excellent location Authentic cantonese cuisine,1
383,Welcoming staff AMAZING food Amazing service hospitality and food,1
384,Christmas Eve dinner A nice dinner on aweek day,1
385,Pub style food in Leidseplein The best waiter I have ever had,1
386,Good burgers Absolutely recommended,1
387,Highly Recommend Great Little Place,1
388,Absolutely brilliant Cozy place excellent food and extremely f,1
389,Nice restaurant for intl guests Good foo with a great view,1
390,Surprising Great Experience,1
391,Great food and nice atmosphere A super lunch,1
392,Nice food Good Value,1
393,Amsterdam A great little cafe,1
394,Perfect Excellent choice to eat local food,1
395,Delicious bagels cozy atmosphere Cute Delicious Vegan Options,1
396,Perfect at Christmas near a window Good choice for a steak,1
397,Simple and friendly bar with tons of diffe A great selection of craft beers,1
398,Good food kind staff Cosy Tapas Bar,1
399,Loved it Awesome atmosphere and food was good,1
400,Cosy Excellent Food busy during breakfast,1
401,A taste of the high life Great Bar,1
402,Good food good location friendly staff awesome burger,1
403,Great restaurant near the museums at good Expect the Expected,1
404,dinner for two Loveley view and sophisticated food,1
405,Great lunch stop It keeps calling me back,1
406,Impossible to just pass buy So fresh,1
407,Happy 1st Birthday Amazing conceptual cocktails,1
408,if you like herring go here Taste of Amsterdam,1
409,Cozy and delicious Value for money,1
410,nice place with view on the shopping stree Strange and Wonderful,1
411,Great atmosphere and central Great Atmosphere,1
412,Delicious The best Umami Salmon,1
413,Good sandwiches good service Breakfast in the Jordaan,1
414,Great Pub Great Food Late night food and drink,1
415,Excellent food good ambiance en friendly Cosy and personal service,1
416,Highly recommended Food of the Gods,1
417,Birthday treat Still nice food liked former place better,1
418,REAL SPANISH JAMON Outstanding Food,1
419,Delicious ramen Authentic Ramen ,1
420,Fantastic Cosy Pub/Cafe Bar Great pub,1
421,New menu really good food Awesome place,1
422,Excellent dinner Awesome Authentic Japannesse food and atmo,1
423,Great Pizza Amazeballs,1
424,Dinner visit with colleague Amsterdam visit,1
425,Elegant space and elegant food Lunch,1
426,sandwiches that never disappoint Always a delight,1
427,Home food away from Indonesia Lovely place to discover Indonesian food,1
428,Fast and tasty Late Night Bites,1
429,Brilliant beers A great find if you like real ale,1
430,Still a favorite Having dinner,1
432,Strong breakfast standing Good for a group dinner,1
433,Reliable breakfast and great coffee Good place to have a break,1
434,Breakfast Best burger ever in Europe,1
435,Simply fantastic Like at home,1
436,Superb Absolutely Great in every way ,1
437,Walk in on a Saturday night Trendy restaurant with really good food in,1
438,Delicious but small portions fantastic place,1
439,Excellent food but the menu needs improvin Pure delight,1
441,Autentic atmosphere A Nice Spot for Lunch,1
442,Excellent Fish & Chips Great fish & chips,1
443,Beautiful food and great coffee A simple place with excellent food,1
444,Good find Nice place,1
445,Classy curry with a group of friends Amazing Indian Cuisine and service,1
446,The best restaurant in Amsterdam? Quality over Quantity,1
447,It would have been 5 stars but more staff They know their meat,1
448,Healthful delicious and filling great veg salad bar,1
449,A place you should steak out Good needs finetuning on starters,1
450,Relaxing and comforting eatery Best sandwich Ive ever had,1
451,Very Charming AMAZING Experience in Culinary Excellence,1
452,Delicious meal I’m Italian and I totally recommend it,1
453,a very tasty lunch near Damrak Very good food,1
454,Enjoyable authentic stop after Anne Frank Lovely Local Cafe / Restaurant,1
455,Good pizza and pasta at great price Convenient and extremely cheap,1
456,The total experience Great experience,1
457,Airport bargain,1
458,Great selection of Portugese cuisine Grea New year 2017/18,1
459,Fabulous food Fabulous atmosphere Great S Great surprise in the late evening,1
460,good Great meal and lived up to expectations,1
461,Great place to top up our energy levels Really good Italian food in the heart of A,1
462,Great place for drinks borrel breakfast Wonderful Coffee Concoctions,1
463,Lovely soup but not a happy waitress Got away from the rain glad we did,1
464,Best vegan pizza Ive ever eaten Pizza HEAVEN,1
465,Definitely go here Excellent food and ser Food prepared with love,1
466,Cocktails in a top location Noce and cosy,1
467,Delicious food nice surroundings Excellent find,1
468,Chance find Jon Stewart Recommended This Place To Us,1
469,Great Place - Friendly and helpful great and affordable spot,1
470,Triple A++ in all the way Cozy atmosphere food is great,1
471,In one word: delicious Excellent food & service,1
472,Unique vibe Nicest Wijnbar in Amsterdam,1
473,Breakfast haven Excellent and cozy place,1
474,Actual Authentic Thai As Thai as it can be,1
475,Very cosy Lovely owners amazing food very cozy,1
476,Unassuming chilled pitstop in De Pijp Excellent Tasty Burgers,1
477,Best steak and customer service ever Argentina at its best,1
478,AMAZING Impressive,1
479,Very good warmly recommended,1
480,Fantastic food great service Good option for the vegetarians among us,1
481,Dinner Oh wow,1
482,High quality food at a reasonable price Great experience,1
483,Really nice Excellent food,1
484,Quality food at superb location Another new hot place im town,1
485,A fun lunch while waiting for boat Tour Lovely cafe with friendly service,1
486,Top-tier food and service Great again,1
487,Two visits this trip Good Indian Food,1
488,Great burgers Definitely worth the pound of flesh when,1
489,Great food and atmosphere Excellent,1
490,We stopped here on a Sunday it was freezin Ice Cold Guinness in Amsterdam,1
491,Great Thai food and friendly staff Top,1
492,Nice Date night Lovely meal but slow service,1
493,We want chicken Frango gostoso 😋 Cozy food,1
494,Lovely dinner Super stake and friendly service,1
495,Very good Great food,1
496,Great Chicken Best chicken rest in town,1
497,Fabulous Great food and top service,1
499,Fantastic burger Great toastie great wine great food,1
500,Midweek dinner near hotel Best pizza abroad,1
501,Fantastic place Jazz & Beer,1
502,Real Japanese Izakaya affordable and grea Fun Japanese restaurant,1
503,Great place Might / could be the best poached eggs I h,1
504,Very friendly and relaxed cafe with not so Great food and location,1
505,New concept- different experience Great Pizza,1
506,Good food Super burgers,1
507,Good Food Lovely staff Try the pebre,1
508,Nice low-key place We stumbled on this Restaurant and were tr,1
509,Tasty food vege and vegan Very Tasty,1
510,Good place for a drink Great location huge assortment of beers,1
511,Couple Paradise Smiling faces,1
512,Delicious good value for money Yummy,1
513,Relaxed atmosphere Seriously good pancakes,1
514,Great spot Great sports bar,1
515,Good pizza Great atmosphere and food,1
516,Really great Tibetan Food Tibetan and Indonesian Cuisine,1
517,Biryani lover Great tapas,1
518,Staff very friendly An absolute treat,1
519,Second visit Tasteful and friendly,1
521,Best place ever Warm welcoming cellar restaurant on the P,1
522,Wonderful Drinking hole,1
523,Interesting Good  Different Interesting food in a warm welcoming ambi,1
524,A very special meal Very unique and beautiful dining experienc,1
525,Nice for lunch or an afternoon snack Nice for lunch,1
526,Quick meal before site seeing Marriott Bar,1
527,Extremely good food and wine Happy Return,1
528,Great Indonesian cuisine real indonesian home cooking,1
529,Small but perfect Hiding In Plainview,1
530,One of the best Italian restaurants in tow Authentic Italian Food - Great Experience,1
531,Worlds best hot cocolate Great place,1
532,Great bar food Just some drinks,1
533,Good value great flavours and worth a visi Good food,1
534,Tailored burger Many ingredients,1
535,Amazing dinner menu of the day Party likes it’s 1986,1
537,Pancakes and Coffee anyone? Superb breakfast,1
538,Excellent Asian fusion restaurant Just missing being perfect,1
539,Dancehall night Nice lunch Decent price,1
540,Great brunch The cod miso style was excellent,1
541,Delicious Italian Food in authentic surrou Lovely restaurant,1
542,Great burgers and friendly service selection is awesome,1
543,Excellent food comfortable ambience reas Just brilliant,1
544,Good food with a view Good one,1
545,Great ambience Nice small restaurant with deliciously sim,1
546,Expect down to earth and be amazed Great salads,1
547,Great natural wines lovely menu Chilled wine sessions,1
548,Service wasn’t very friendly but food was Food service and location ,1
549,Paired with Bols visit - great experience Classy drink before Van Gogh,1
550,Lovely spot for Sunday lunch or just coffe A pleasant surprise,1
551,The best apple pie in the world Very good,1
552,Great place to fetch a quick sandwich Delicious Pancakes on a lovely street,1
553,Nice quiet lunch venue away Recommended,1
554,A friendly little place Excellent,1
555,Nice cosey and great food Delightful place; very good food,1
556,Great food nice ambience Atmosphere Dutch dishes service prices,1
557,Decent Good selection of veggie food,1
558,This was delicious Delicious Asian tapas,1
559,Awesome dishes service and athmosphere The excellence,1
560,Good Indian vegetarian food in Amsterdam Vegetarian South Indian Food,1
561,Excellent cooking& Service Nice place and tasty food,1
562,Good FoodGood Beer Great everything,1
563,Delicious food service could be improved Very good French restaurant and reasonable,1
564,No standard tapas place Best Spanish restaurant in NL,1
565,Afternoon tea at its best Special Dinner,1
566,Decent Italian in a city with moderate foo Nice Italian Restaurant in Amsterdam,1
567,Worth trying Good food but over priced,1
568,A warm bite of Italy A true Italian welcome,1
569,Great service good quality food without b Meal with a view,1
570,Smoking and drinking in one place Great vibes,1
571,Tasty Love it,1
572,Great local taste Amsterdam and herring go together,1
573,Mezcals and tequilas at their best Very Nice Midday Respite & Cocktail,1
574,Nice place to eat in the heart of Amsterda Good to try,1
575,Very sophisticated Moroccan restaurant Wonderful mix of traditional Moroccan and,1
576,LA Mexi dishes & service could use some im different brunch,1
577,Great middle-eastern food Good falafel,1
578,It is a touristic place but not a tourist Nice meal after concert,1
579,Small friendly Italian Restaurant Good Italian,1
580,Tasty friendly little eatery with large po Cheap and cheerful,1
581,Delicious and friendly Very different experience,1
582,Great seafood bar close to Albert Cuyp mar Warm atmosphere sophisticated dishes,1
583,Awesome shrimp Fresh food  fast,1
584,Loved it Nice atmospheric place,1
585,Great wings and ribs - but not your usual 龍蝦好吃,1
586,Plenty of healthy options Daily getaway,1
587,Great burgers but a bigger Portobello woul Amazing burger - bit of a wait,1
588,Mexican style Good Mexican Grub,1
589,Nice place A gem,1
590,Friendly warm welcoming with great sandw Just do it,1
591,First Impression is the Last Impression Great fast & healthy food,1
592,Service was the greatest quality Great steaks - quite expensive,1
593,Mozarella Panini + Cappuccino Great lunch,1
594,Perfektes Frühstück Ausgesucht qualita Great,1
595,Great space - we enjoyed lunch and dinner Great food  however very poor service,1
596,have a coffee and look around Amazing food,1
597,Great food & cocktails Great option for Amsterdam visitors,1
598,A tourist trap but worth a quick visit for Quasi TGIs with much better food,1
599,Cosy caffe with great lunch Amazing Fresh Unique Dishes,1
600,Surprise Good food,1
601,Good food & service A very nice Turkish Cuisine,1
602,Authentic italian food served by italians Delicious and pleasant,1
603,Went back twice Great cafe/restaurant,1
604,Best service and delicious food  Worth a return visit,1
605,Best Bread in town GeZellig,1
606,Excellent food in informal surroundings A quiet dinner,1
607,A wonderful riverside cafe Unique experience,1
608,Great restaurant with best service Delicious,1
609,Tasty food but messy service Interesting if youre after something diff,1
610,Great value for money Awesome,1
611,Perfect for breakfast sweet service,1
612,Classy n chill Cosy spot always revisiting,1
613,Superb Great food,1
614,Great dinner wonderful atmosphere Amazing,1
615,Just what the doctor ordered: Went twice and liked it both times,1
616,Best pizza ever Italian pizza,1
617,Very Good food & Happy staff Good lunch stop near the Anne Frank Museum,1
618,Fun bagels and social sips Late breakfast,1
619,A moment of true life An excellent find,1
620,Great Dutch pancakes Yummy,1
