,reviews.text,sentiment
19840,"Bought couples during holiday season at low price ($50/ea), nice!Pros:- HD display + Fast internet, smooth streamming- Can add more storage by using microSD card- Good size to carry & reading document on the road or worksCons:- No AGPS (but not big deal)- No Google Play Store (but you can side load Google Play. Many instructions available on web)",positive
22152,Awesome tablet. Purchased for kids. They love it..,positive
26665,Bought it as an e-reader. Convenient and easy to use. Text is very readable. I am pleased.,positive
2302,great deal on batteries,positive
5458,Good all round lasts long with plenty of power,positive
28048,"Mainly used for reading kindle books, but tablet does many other things! Goes with me everywhere I go!",positive
15363,I recently upgraded to this model of Kindle. Liked it so much I bought this one for my daughter. She loves it. It's much nicer than the older model she and I had.,positive
19667,Great app selection. Parental controls are easy to set up to prevent unwanted purchases. The fact that the bumper is already included is a plus and protects it well.,positive
3483,They work very fine even in very cold weather.,positive
4836,Good price and they work,positive
21804,My daughter loves her new Kindle. It has all of her favorite games. I love the parental controls of the kindle fires vs. standard Android tablets.,positive
19485,We bought two of these for myself and my husband. We both have loaded movies and books on them for entertainment when on the road or boat. Durable and easy to use.,positive
24299,"I bought this kindle for my 11yr old granddaughter for Christmas. Me and my husband both had kindles several years prior, and she and my 6 year old grandson love watching and playing on them. Both children have all kinds of game systems but use the kindle way more. My 6 yr old grandson still plays with mine and loves watching you tube, videos and playing games on it. He has several game systems, Xbox, sega, ds but still uses my kindle all the time over those systems.my husband used his all the time for everything from internet to watching movies and shows. I'm getting ready to buy my grandson a new kindle( mine is a bit older and has cracked screen now but still works good).He would like one to call his own. I'm looking at a 16 GB or 32 GB.they are really durable and tough.",positive
1414,Batteries were inexpensive and long-lasting.,positive
24703,Bought for my son for Christmas and so far he loves it good value for the price.,positive
3067,OK,positive
12768,Tap makes a great mobile Alexa device. Not as loud as Echo but still louder than the Dot. Voice enabled Alexa works but doesn't detect voice as easy as the Echo or Dot. As a mobile Bluetooth speaker though it works fine.,positive
5814,"Seems to work well I haven't been using them long, but have not had any problems",positive
24392,"We love this , so many apps that you can download for free easy to maneuver she will be able to grow with this",positive
13771,My godchild loves this tablet. Easy to use and kid friendly. Also allows parents to set controls and I love that,positive
13134,"I have several generations of Kindle readers, and this is far and away the best. It is relatively expensive, but the features are worth it.",positive
23668,My kids are 18 months and 4 and they love this tablet. It's easy for them to use and very lightweight,positive
16130,This was a great purchase! Love the fact I can download TV or movies and watch off-line. Easy set up.,positive
16908,"the product is really crafted for kids n they just glue to it as it offers an array of rich topics, apps, etc",positive
10722,Great batteries at an unbelievable price. Will definitely purchase more.,positive
28240,"Purchased this to get a lighter tablet. Also to update our my old tablet which had a replaceable battery. This is all around lighter ,thinner and easier to handle. HD is a good upgrade and can't beat the price for comparable tablets with same features. my wife reads on it daily and loves it. I am probably going to search for another one.We have the 8"" and I would like to try a 7"" if it were available.I like to try different size devices to see how I adjust same way with todays phones.",positive
17108,Perfect cheap device for kids and grandkids nice to have sitting around,positive
6917,Great batteries. Work and last like brand name batteries,positive
12892,"This is the 3rd Kindle we have purchased and they keep getting a little nicer with each version. The light on this one is a really nice feature. The battery life is better, the page turning options are better, it is lighter... there are just a lot of nice little improvements. If you like to read in an electronic format I cannot imagine disliking the Kindle.",positive
19728,These were bought as gifts for elementary age kids. It is a great tablet which also gives the kids ability to download books to the Kindle app.,positive
18564,For those that have Prime this is almost a must have. Keeps all your Amazon stuff in one place.,positive
6098,Item as described.,positive
5786,You get the bang for your buck!,positive
10790,No issues. Great for the price.,positive
10586,Good value!,positive
19136,"Great for reading in the sunlight. As well as light, and easy on the wrist. Great product, but a little speedy.",positive
24471,I bought the Amazon Kindle so I could enjoy reading without lugging around multiple books. I usually read my ebooks on the Kindle app but I have gotten frustrated with my phone/tablet going into sleep mode. This Kindle is sufficient for my needs. I purchased a reading light for when I'm in low-light situations and it works very well. I am satisfied with my purchase.,positive
24926,"I bought this for my daughter to use. I know the regular amazon fire is cheaper, but this one came with a bumper, a two year no question warranty and a one year subscription to free time which allows kids to read lot of books and play great games for free. In the end it's a great deal.",positive
26619,Great device very functional love it will recommend,positive
9383,Great deal,positive
11212,I use these in my Bluetooth gaming chair's transmitter that uses 2 AAA's. Approximate battery life is 50+ hours. Incredible!,positive
12093,"Every other laptop cooler I have purchased has a USB plug to run a fan. Got tired of the fans making noise, the USB or cooler plug not working eventually etc.So gave this one a shot and it does what it says plus. Keeps my 15.6 Mac book pro cool and my legs are not heating up any more when sitting on the couch. Also the bottom does not feel nearly as hot as it used to. So why only 4 stars. The two tabs to keep your laptop from sliding off are not adjustable so when you are typing your arms want to rest on those tabs. Really uncomfortable. So in the pictures you can see a slight modification I made to alleviate this problem. I now rest the laptop on the pads so when typing my arms are resting on the key board portion as if the tabs were not there. Much more comfortable. I used strips of thick felt with sticky bottoms. Certainly not a technical fix but does the job. All they had to do was include a metal piece retrofit on the bottom portion that would allow you to raise your computer to a level so the tabs would not interfere. Simple but maybe on the next model. Check out the two photos.",positive
21483,I bought this tablet for my grandson and he absolutely loves it!!!!!,positive
25182,Bought this for my two yr old and she loves it not to mention super durable.,positive
18579,I bought this for my daughter as a Christmas present and she loves it.,positive
7181,As promised. Super fast shipping.,positive
26505,"my opinion its a good option for the cost. Not as great as Apple Ipad, but it costs so much less. Still can get good use",positive
8116,Work just as good as the name brand batteries. I will only be buying amazon batteries from now on.,positive
1428,Batteries!,positive
7996,decent quality,positive
19019,"Great to view movies, play games, surf the net. Makes shopping on Amazon music easy",positive
6877,"I was surprised, pretty good batteries!",positive
2096,great,positive
13652,Great for kids. My grandson (5 years) is very happy with it,positive
24720,"This is the perfect reader. Price is great, it's easy on your eyes. Battery lasts longer than a tablet.",positive
15536,Books and magazines are easy to access and read!!!,positive
9079,Excellent,positive
11110,Good batteries. Arrived just in time,positive
7020,They're batteries and they work. Use them for camping lights.,positive
7587,This was a really good buy. I needed for a work function and it was exactly what we were looking for,positive
13175,I had used the Kindle Paperwhite for quite awhile before I got intrigued by the Voyage seeing it in person. I was apprehensive about upgrading given the higher cost but it was entirely worth it. The Paperwhite is lite in weight but somehow the Voyage feels weightless. The screen is absolutely beautiful and to me the nicest feature is the screen is flush with the bezel around. Little learning curve to the page press on the side but tweaking the settings a little I have it down now.,positive
18240,"I bought two of these, one for my son and the other for nephew, they love it. I downloaded kidsmode on it and all their educational games they can play besides regular Games.",positive
17943,I bought this for my wife as a gift to replace her older fire. Absolutely loves it. Has all of the features she needs. I don't think there is a better tablet on the market and the value is incredible.,positive
25862,This is a great product. Light weight. I wish it has wifi to download from online.,positive
27046,"I love the product. I'm very happy but I would like even more if the page number was displayed when reading books on this tablet, in case I wanted to refer back to a certain page.",positive
8656,tested these batteries along side name brand in a handheld microphone and they actually preformed better and lasted longer then the big name brands.,positive
14981,"Has so many games for the kids to choose from, I love that I can make different profiles for each kid to limit what they play",positive
17172,It is easy to use. It was cheap. Have not found anything about it that I do not like.,positive
18849,Too many advertising and too many pages to sort through.,positive
10900,"Great quality , best value ! Never going back to brand name",positive
746,your basic batteries but cheaper. Did not notice shorter life span. Great for college,positive
27320,Bought this for my six year old son for a Christmas present and he loves it. He couldn't be happier it keeps him very entertained. This tablet was such a good deal definitely no complaints here. Best buy has the greatest deals love this store.,positive
17906,The Amazon FIre Tablet is awesome. My daughter loves it very much. It is very easy to access and download your apps. The settings functions are very easy to use and program.,positive
3304,Thank You!!,positive
10539,Lo cost for long lasting batteries.,positive
9892,Sweet deal! :),positive
10052,Will have to see the life of battery is,positive
13920,This is an item that is easy to use for novices. My child uses it and has no issues,positive
7566,They're good quality batteries for a really good price! You'd be stupid to pass this deal up!,positive
7760,Great batteries and can't beat this price.,positive
22618,Great tablet to keep at work during downtime!! Great value!,positive
21205,Great easy fluid tablet for begginers. Would highly reccommend. Excellent for all the readers out there too !,positive
18287,Love the features my new Kindle Fire has - very user friendly!,positive
8611,"You know, I really like the Amazon line of batteries. At first I has hesitant on using anything other than Duracell, I tried these and especially for the price you simply cannot go wrong....",positive
15354,"Great Kindle fire, works great for reading, playing games, etc. Highly recommend to everyone.",positive
5193,"Batteries on point. Top tier, seem to perform at the same level or better than Duracell's. 48-pack for this price is hard to beat! You won't regret it.",positive
21615,"I wanted a tablet mainly to keep by my chair so I could look up stuff, such as information about movies I watch on TV, or answers to the New York Times crossword puzzle, or anything else I was curious about. I didn't want to spend much money, but was still dubious whether such an inexpensive tablet could be any good. I decided that for a measly fifty bucks (plus $20 for extra storage), it was worth a shot. I found that it's perfect for my purposes - relatively fast and easy to use. I haven't used it for downloading or the like, but my guess is it'll be OK there, too. I'm happy I bought it.",positive
11723,"They work, and they cost less than in the stores.",positive
15679,Great tablet for price. Display is clear. Enjoy books on tablet.,positive
9586,Great way to buy in bulk especially with two gaming boys!,positive
21912,Looks nice can't wait to try it out! Great price for a tablet.,positive
26754,"This little thing does everything and does it quickly. It could use a case, so think about getting one, but as an eReader it does everything it is supposed to.",positive
28101,"I bought this 8"" Amazon Fire HD for my Wife as a Christmas Present. Her old 7"" Amazon Fire that she had for about 3-4 Years. She is very happy with the 8"" Amazon Fire HD. Can't beat the price for a Tablet.",positive
23965,It's a lovely game for kids wolf my daughter have one and I love it,positive
22020,I love this and it's great for kids got it for a early Christmas gift for a friends son and he loves it,positive
7191,Nicely packaged and full of powerExcellent service. Batteries are freshly manufactured.,positive
25175,"I have two of these for my kids. Ages 2 and 3. They are great for them to watch cartoons and they are slowly getting into the puzzles, books and games on them. Easy to setup and link to amazon account. Only gave it 4 stars because the one downfall is that these tablets are bit on the slow side when either downloading content or loading up some videos. Kids are less patient than adults you know. Overall, well worth the money.",positive
22070,Bought for the grandkids and they work great might get one for myself,positive
2537,Great product !!!,positive
17747,Great product. Love using it for reading and search.,positive
12658,"Purchased this as a gift for a teenage kid as a graduation present. Very pleased with the purchase. The kids love it. Small size, but good speakers. Perfect for the college dorms where he is scheduled to go in a couple of months. Love how the device connects to the cloud and keeps itself updated.",positive
16629,I love how you can keep up with social media and watch movies online. This is fantastic!!!,positive
3489,They work!,positive
1730,good,positive
18207,Bought this as a gift. My mother likes it. It's easy and simple to use.,positive
16877,Nice look. Great memory and camera. For this much money everything is so good.,positive
16223,This was exactly as advertised and did everything that was claimed. Setup was fast and easy and I have no complaints.,positive
19578,I purchased it for nephew loved it was cool. I didn't want to get tablet expensive can break damage. its not easy for kids. I installed google play store worked on Amazon. it did! cool!,positive
16826,"This is a great tablet for kids, the protective bumper pad really does help. The unlimited warranty gives piece of mind as with kids anything will break. Finally the 1 yr unlimited warranty to Amazon for shows and movies the kids can watch. Awesome deal for the price.",positive
2544,great product at good price...,positive
4511,Good price but seemed to last a little less time than the name brands (but the name brands were much more expensive),positive
10967,You get the bang for your buck!,positive
17220,"I have had many tablets, Samsung, Asus and old Ipad. This Fire holds its own . The Silk system is not quite as speedy but the lack of bloatware is nice. There is a hack to get more google apps. It's light to hold, the ads are not invasive. I enjoy taking advantage of the Prime benefits. Simple to operate. Would recommend for everyday use and movie/reading music consumption.",positive
26935,Perfect size for reading watching movies and carrying on a plane,positive
13878,Really enjoy this product. Love watching movies and playing games on my Fire HD 8,positive
26974,"This was bought to replace my old Kindle with keypad, and experimental internet. Was surprised how much the Kindle had changed, and at the same price as my old one was when I bought it!Have already shown it to a couple of friends who now say they are thinking about getting one.",positive
13214,Great product love the auto adjusting black lightLove the weight of the kindle light enough I can hold it with one hand an turn the pages,positive
8624,great deal,positive
27708,"I brought Fire HD8 for my Daughter, She have been used it since Christmas.",positive
4219,They are batteries.,positive
21552,Got it as a gift and they loved it. Was told it works great and very efficient.,positive
7023,So far these batteries seem to hold up decently compared to more expensive name brands. Time will tell.,positive
12061,I like these batteries. I go through AA batteries a lot with my children's toys..,positive
21745,"The Amazon Fire tablet is a great starter tablet for people that are looking for an inexpensive way to read your e-books, and watch your videos.",positive
9018,BY FAR THE BEST BATTERIES EVER BOUGHT BY ME GREAT PRICE,positive
668,Better performance than I expected. I feel like I get just as much out of these as the name brands and the price is fantastic. Highly recommend!,positive
347,"So far so good. I usually buy Duracell, but I trust amazon... sooooo I tried these. No complaints thus far",positive
11229,These are now my go-to batteries....sorry copper top. I used them for lights at my daughter's wedding and they are still going strong!,positive
17870,I bought this as a gift for my sister and every time I see her she is using it. She does not have a computer or internet at home and is very dependent on the library. This works so well for her. A stop anywhere there is free wifi and she is online. So much tech utility for such a low price.,positive
17683,"Very nice for light internet browsing, keeping on top of email, viewing videos, and reading e books, which I like to get free from the library. Good browser, good battery power, fast charge. Very relaxing to sit in a comfy chair and read or browse. Has given me hours of enjoyment and information for a minimal price.",positive
439,"Well, these are basic, average, ordinary non-rechargeable AA batteries. You get 100 in bundles of 4 tightly wrapped in plastic, all packaged in a plain corrugated cardboard box. The price is good. The batteries are plentiful. I've read reviewer complaints here that the battery quality is inferior, that they don't work, or explode, or ooze, or don't last very long. I can't tell you about this. I don't have a battery tester and nor do I have the ambition to set up a test involving these vs. some top brands to see which work better and last longer.Don't try to charge them (duh!) and just use them. I'm not a big user of AA batteries and now that the World As I Knew It is coming to an end, there will probably be plenty of these still in my house when that end arrives.",positive
21170,"Overall it's okay, I don't like that it takes forever to charge.",positive
38,These last as well as Energizer- half the price.,positive
24302,"I love the internet, tweeting and facebook. No computers can complete me!! My kindle takes care of all my needs ;) !!!Juju",positive
3183,reliable affordable,positive
20642,"Although a new tablet, had some issues. The updates kept it from the freetime. I called tech support and did not solve the issue. I eventually figured out how to resolve the issue, a bug in the tablet os I guess. I now have a great tablet for my 3 year old.",positive
1493,Can't beat AmazonBasics.,positive
17727,"This kindle is awesome. I love the design of it. Nothing software wise that was different than my other kindle but the way it's designed makes it much more comfortable and easier to read. The only reason I didn't give it five stars was because of the price. If it were cheaper, this kindle would have been five stars no doubt.",positive
12838,"I love my Kindle black. I can read for hours without making my eyes sore the way a phone screen would. The functions are easy to use. Everything is set up clearly and simply. It's shape is adorable, and it's surprisingly light. The battery does last a long time.",positive
16821,The kids feature is great. My 18 month old takes it with her everywhere. Love how I can block unwanted content from her profile. Very kid friendly.,positive
22919,My son loves this thing. He is always on it. Great learning tool and it keeps him entertained,positive
3517,This is a solid deal. WIll buy again.,positive
14648,Had to buy a new kindle because on my fire hd 7 the battery quit holding a charge. Was told there was nothing you could do.,positive
12128,"Recently, I spent my hard earned money on a 13.3 Macbook Pro Mid 2012. I like to take care of my personal belongings, and this 1000 piece of machinery was no exception. So this began my search for a laptop sleeve. Wandering my local general stores (Wal-Mart, Target, Best Buy, etc.) I noticed a cheap laptop sleeve (as in cheap quality) was nearly 16! I was like HECK NO! So I jumped on Amazon (btw amazon is the best shoutout to all the hard workers running this website and service) and searched a laptop sleeve. After approximately 9.24 seconds of searching I came across this gem. COULD IT BE! An affordable, durable, and classy laptop sleeve for under 10. Being the educated consumer I started to read reviews. I came across a few that said: Laptop Didn't Fit. This was it, this was the end, I built it all up to let myself down. But being the poor High-School student I am, I pocketed some of my parents lunch money and ordered it. When it got here I opened the package. You know the scene in Star Wars when Darth Vader removed his mask That's what it was like, shocking, but beautiful. I unboxed it and immediately took my laptop out of my backpack (which was stored in a nice soft tee-shirt previous to this sleeve purchase) and tried to slip it in the case. Wow. The sleeve fit like a glove.If you have a 13.3 Macbook Pro Mid 2012, I highly recommend this product. It protects your laptop very well and snug. No other sleeve is as affordable, fashionable, and durable as this one.",positive
13714,"This is the best tablet you can get for under $100. I have used or own many tablets including Ipad Pro/Mini, Samsung Galaxy Tab and Nexus. They are popular high-end tablets but easily cost over $300 or $400. I was very surprised by quality of this tablet and it gives you much more than what you pay. Battery performance is great- it easily lasts over 10 hours after charge. Speakers are solid with two drivers. Performance is decent although not as fast/responsive as high-end tablets. I was bit disappointed at its low contrast display. However for its price, I cannot complain too much.",positive
2648,Great value !!! Why buy 4 at a time... Believe me you will use them.... Trust me. !!!!!,positive
11610,"The package provided good quality batteries in a size I need most often, without including other sizes of less usefulness. I also appreciated the packaging, which is more accessible than the common drugstore packages (which can be a challenge to open).",positive
3013,nice price,positive
24357,Works very well. Video quality is very good. It is easy to navigate.,positive
7234,So far so good. They work - they seem to last a decent amount of time and the price is right.,positive
6281,Same for these AA batteries as for the AAA batteries.,positive
2832,"Item was just as expected, and it arrived quickly!",positive
18762,Great for reading. Ordering books and use as a tablet.,positive
25590,Not bad can with stand my almost 2 yr old daughters wrath of every day wear and tear. So it's a win for me....,positive
27906,Really enjoying my new tablet. I like to travel and me and my family use it to play game and watch movies. Just the right size to.,positive
16940,"Good picture, works well, great variety of apps. keep in mind that you get apps from amazon, not google play, so they aren't always the same or same price",positive
12903,The best kindle that I ever had!It is great if you love reading and really want to have the feel of handling a book.Great for indoor and outdoor reading,positive
7026,"Great Bargain, were shipped on time and the packing was good with no damage, happy customer",positive
19555,Very happy with this purchase..thw kid has dropped it no less than 39383 times and no screen cracks,positive
69,"Some day we will probably look back and chuckle about 'primitive' batteries like these. But not yet. They are an integral part of our daily lives. We need food, drink, shelter, love, and BATTERIES! You can't beat the price/quality combination.",positive
1714,GOOD,positive
19815,Bought this for my youngest daughter to have movies to watch on long car rides. Works great. Fast. Nice bright screen. The SD card addition is wonderful so more apps can be added and Netlfix movies can be downloaded.,positive
24618,"The Kindle 8 is an inexpensive eReader that does what I need in the smallest, thinnest, lightest package. I want it for travel and portable convenience when a full-size tablet is too big and heavy. It's perfect.",positive
18512,i really enjoy this tablet made a great christmas gift,positive
21388,It has everything he needs. He is using the tablet each day.,positive
26878,I am glad that I made this choice for both my kids: they love this gadget it has things for them to learn and play. Great thing about this is customized content for children,positive
211,"Just as good as name brands, lasts longer and no mercury.",positive
4737,"Haven't conducted any testing so I'm not absolutely sure about how these compare for performance to Duracell, Energizer or Ray-O-Vac. Gut feeling is that they are about the same as Energizer and Ray-O-Vac in performance and I can sometimes get Ray-O-Vacs on sale at Home Depot/Lowes for a competitive price.",positive
1278,Amazon batteries are always a GREAT deal!,positive
20354,"This tablet has lots of kids' programs and is nearly indestructible. Our grandson uses it every day, as well as grandma's iphone 7.",positive
15381,Got this for my 2 year old granddaughter for Christmas. She plays on it till we have to recharge it! She loves it! Great little tablet with a host of capabilities.,positive
1321,As expected,positive
12659,Love that you can take this anywhere and hook up to my Bluetooth. Great sound quality.,positive
8018,You can buy these at a good price and they seem to last as well as any of the big brands. So I will continue to buy these batteries.,positive
12135,"This is a quality product, well constructed with durable materials. Many pockets for laptop accessories or other supplies. Sometimes I use it as just a briefcase and it also serves that purpose well. All in all, it's a great value for a reasonably low price.",positive
27214,Nice tablet. Very speedy. The only thing I don't like is that I can't add GooglePlay apps to it. At only $69.00 I guess that's to be expected.,positive
13156,I bought this after my Kindle Keyboard died. I like having a dedicated reader. Its easier on my eyes. Its light weight and fits in my purse with the cover on it. The ads don't bother me. Great purchase,positive
5933,They are batteries. They don't seem to last any longer or shorter than the average battery. I've bought them before and will buy again.,positive
12968,Product was as described and delivered on time as scheduled.,positive
2095,great,positive
12594,Reasonably priced and worth every penny! I love it.,positive
17658,"It's good, saves using up data usage on computer. I use it to keep up to date with the news.",positive
23172,Got this the another day for my niece and she loves everything it has to offer,positive
6130,"For the price, these can't be beat. I don't have scientific measurements, but these seem to last just as long in my mouse, keyboard, remote, etc. as the more expensive brands do, for a lot cheaper. I like having a lot on hand so that I don't run out and have to pay more for them at the store, so I order these in bulk in different sizes and I'm always prepared. Overall, I've had really good luck with the Amazon brand.",positive
16529,Kids Kindle was a Christmas present for great grandson age 4. His mother has downloaded many word games and etc. from Amazon's childrens library. A big feature of the Kindle is the case and the 2 year no fault warranty. His Mother says he loves the Kindle and uses it all the time. Great purchase.,positive
3245,So far these have performed as well as the more expensive Name Brand batteries,positive
1098,"Throw away all my generic batteries and replaced with these. 48-Pack came in a nice carton box with 4-pcs. battery in each plastic wrap. Used in remote controllers, game controllers, mouse, automatic spray air fresheners, LED flashlights and camping lanterns, clocks, wall lamps, and other devices. Excellent batteries for the price.",positive
